2026-07-24 14:33:38 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:54 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:56 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:58 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:00 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:03 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:05 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:07 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:09 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:11 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:13 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:15 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:17 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:20 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:22 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:24 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:26 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:28 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:30 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:32 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:34 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:36 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:39 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:41 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:43 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:45 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:47 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:49 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:51 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:53 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:56 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:43:58 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:00 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:02 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:04 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:06 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:08 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:10 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:12 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:15 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:17 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:19 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:21 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:23 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:25 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:27 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:29 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:32 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:34 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:36 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:38 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:40 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:42 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:44 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:46 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:48 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:51 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:53 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:55 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:57 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:44:59 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:01 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:03 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:05 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:07 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:10 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:12 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:14 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:16 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:18 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:20 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:22 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:24 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:27 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:29 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:31 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:33 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:35 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:37 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:39 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:41 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:43 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:46 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:48 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:50 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:52 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:54 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:56 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:45:58 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:46:00 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:47:30 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:30 - CPU usage (100%) is too high! (100% > 80.0%)
2026-07-24 14:47:32 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:32 - CPU usage (100%) is too high! (100% > 80.0%)
2026-07-24 14:47:34 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:34 - CPU usage (100%) is too high! (100% > 80.0%)
2026-07-24 14:47:36 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:36 - CPU usage (100%) is too high! (100% > 80.0%)
2026-07-24 14:47:39 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:39 - CPU usage (100%) is too high! (100% > 80.0%)
2026-07-24 14:47:41 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:41 - CPU usage (100%) is too high! (100% > 80.0%)
2026-07-24 14:47:43 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:43 - CPU usage (100%) is too high! (100% > 80.0%)
2026-07-24 14:47:45 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:45 - CPU usage (100%) is too high! (100% > 80.0%)
2026-07-24 14:47:47 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:47 - CPU usage (100%) is too high! (100% > 80.0%)
2026-07-24 14:47:49 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:49 - CPU usage (100%) is too high! (100% > 80.0%)
2026-07-24 14:47:51 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:51 - CPU usage (100%) is too high! (100% > 80.0%)
2026-07-24 14:47:53 - Tiến trình: yes | PID: 1458285 | CPU: 100% | RAM: 0.0%
2026-07-24 14:47:53 - CPU usage (100%) is too high! (100% > 80.0%)
